Date,Category,Item Name,Value,Is Liability
2024-01-31,Liquid Assets,Checking Account,4500.00,FALSE
2024-01-31,Liquid Assets,Savings Account,12000.00,FALSE
2024-01-31,Investments,401(k),45000.00,FALSE
2024-01-31,Investments,Roth IRA,6500.00,FALSE
2024-01-31,Investments,Brokerage Account,15000.00,FALSE
2024-01-31,Investments,Crypto Wallet,3200.00,FALSE
2024-01-31,Real Estate,Home Equity Estimator,85000.00,FALSE
2024-01-31,Liabilities,Car Loan,18500.00,TRUE
2024-01-31,Liabilities,Student Loan,24000.00,TRUE
2024-02-29,Liquid Assets,Checking Account,4650.00,FALSE
2024-02-29,Liquid Assets,Savings Account,12500.00,FALSE
2024-02-29,Investments,401(k),46200.00,FALSE
2024-02-29,Investments,Roth IRA,6800.00,FALSE
2024-02-29,Investments,Brokerage Account,15400.00,FALSE
2024-02-29,Investments,Crypto Wallet,3500.00,FALSE
2024-02-29,Real Estate,Home Equity Estimator,85500.00,FALSE
2024-02-29,Liabilities,Car Loan,18100.00,TRUE
2024-02-29,Liabilities,Student Loan,23800.00,TRUE
2024-03-31,Liquid Assets,Checking Account,4800.00,FALSE
2024-03-31,Liquid Assets,Savings Account,13000.00,FALSE
2024-03-31,Investments,401(k),47800.00,FALSE
2024-03-31,Investments,Roth IRA,7100.00,FALSE
2024-03-31,Investments,Brokerage Account,15900.00,FALSE
2024-03-31,Investments,Crypto Wallet,3100.00,FALSE
2024-03-31,Real Estate,Home Equity Estimator,86000.00,FALSE
2024-03-31,Liabilities,Car Loan,17700.00,TRUE
2024-03-31,Liabilities,Student Loan,23600.00,TRUE
2024-04-30,Liquid Assets,Checking Account,5100.00,FALSE
2024-04-30,Liquid Assets,Savings Account,14000.00,FALSE
2024-04-30,Investments,401(k),49500.00,FALSE
2024-04-30,Investments,Roth IRA,7500.00,FALSE
2024-04-30,Investments,Brokerage Account,16800.00,FALSE
2024-04-30,Investments,Crypto Wallet,3800.00,FALSE
2024-04-30,Real Estate,Home Equity Estimator,86500.00,FALSE
2024-04-30,Liabilities,Car Loan,17300.00,TRUE
2024-04-30,Liabilities,Student Loan,23400.00,TRUE
2024-05-31,Liquid Assets,Checking Account,5200.00,FALSE
2024-05-31,Liquid Assets,Savings Account,15000.00,FALSE
2024-05-31,Investments,401(k),50800.00,FALSE
2024-05-31,Investments,Roth IRA,7900.00,FALSE
2024-05-31,Investments,Brokerage Account,17200.00,FALSE
2024-05-31,Investments,Crypto Wallet,4100.00,FALSE
2024-05-31,Real Estate,Home Equity Estimator,87000.00,FALSE
2024-05-31,Liabilities,Car Loan,16900.00,TRUE
2024-05-31,Liabilities,Student Loan,23200.00,TRUE
2024-06-30,Liquid Assets,Checking Account,5400.00,FALSE
2024-06-30,Liquid Assets,Savings Account,16000.00,FALSE
2024-06-30,Investments,401(k),52500.00,FALSE
2024-06-30,Investments,Roth IRA,8300.00,FALSE
2024-06-30,Investments,Brokerage Account,18000.00,FALSE
2024-06-30,Investments,Crypto Wallet,4500.00,FALSE
2024-06-30,Real Estate,Home Equity Estimator,87500.00,FALSE
2024-06-30,Liabilities,Car Loan,16500.00,TRUE
2024-06-30,Liabilities,Student Loan,23000.00,TRUE
2024-07-31,Liquid Assets,Checking Account,5600.00,FALSE
2024-07-31,Liquid Assets,Savings Account,17000.00,FALSE
2024-07-31,Investments,401(k),54200.00,FALSE
2024-07-31,Investments,Roth IRA,8700.00,FALSE
2024-07-31,Investments,Brokerage Account,18900.00,FALSE
2024-07-31,Investments,Crypto Wallet,4800.00,FALSE
2024-07-31,Real Estate,Home Equity Estimator,88000.00,FALSE
2024-07-31,Liabilities,Car Loan,16100.00,TRUE
2024-07-31,Liabilities,Student Loan,22800.00,TRUE
2024-08-31,Liquid Assets,Checking Account,5800.00,FALSE
2024-08-31,Liquid Assets,Savings Account,18000.00,FALSE
2024-08-31,Investments,401(k),55900.00,FALSE
2024-08-31,Investments,Roth IRA,9100.00,FALSE
2024-08-31,Investments,Brokerage Account,19800.00,FALSE
2024-08-31,Investments,Crypto Wallet,5200.00,FALSE
2024-08-31,Real Estate,Home Equity Estimator,88500.00,FALSE
2024-08-31,Liabilities,Car Loan,15700.00,TRUE
2024-08-31,Liabilities,Student Loan,22600.00,TRUE
2024-09-30,Liquid Assets,Checking Account,6000.00,FALSE
2024-09-30,Liquid Assets,Savings Account,19500.00,FALSE
2024-09-30,Investments,401(k),58200.00,FALSE
2024-09-30,Investments,Roth IRA,9500.00,FALSE
2024-09-30,Investments,Brokerage Account,20500.00,FALSE
2024-09-30,Investments,Crypto Wallet,4900.00,FALSE
2024-09-30,Real Estate,Home Equity Estimator,89000.00,FALSE
2024-09-30,Liabilities,Car Loan,15300.00,TRUE
2024-09-30,Liabilities,Student Loan,22400.00,TRUE
2024-10-31,Liquid Assets,Checking Account,6200.00,FALSE
2024-10-31,Liquid Assets,Savings Account,21000.00,FALSE
2024-10-31,Investments,401(k),60500.00,FALSE
2024-10-31,Investments,Roth IRA,9900.00,FALSE
2024-10-31,Investments,Brokerage Account,21200.00,FALSE
2024-10-31,Investments,Crypto Wallet,5400.00,FALSE
2024-10-31,Real Estate,Home Equity Estimator,89500.00,FALSE
2024-10-31,Liabilities,Car Loan,14900.00,TRUE
2024-10-31,Liabilities,Student Loan,22200.00,TRUE
2024-11-30,Liquid Assets,Checking Account,6400.00,FALSE
2024-11-30,Liquid Assets,Savings Account,22500.00,FALSE
2024-11-30,Investments,401(k),62800.00,FALSE
2024-11-30,Investments,Roth IRA,10300.00,FALSE
2024-11-30,Investments,Brokerage Account,22100.00,FALSE
2024-11-30,Investments,Crypto Wallet,5800.00,FALSE
2024-11-30,Real Estate,Home Equity Estimator,90000.00,FALSE
2024-11-30,Liabilities,Car Loan,14500.00,TRUE
2024-11-30,Liabilities,Student Loan,22000.00,TRUE
2024-12-31,Liquid Assets,Checking Account,6800.00,FALSE
2024-12-31,Liquid Assets,Savings Account,25000.00,FALSE
2024-12-31,Investments,401(k),65500.00,FALSE
2024-12-31,Investments,Roth IRA,11000.00,FALSE
2024-12-31,Investments,Brokerage Account,23500.00,FALSE
2024-12-31,Investments,Crypto Wallet,6500.00,FALSE
2024-12-31,Real Estate,Home Equity Estimator,91000.00,FALSE
2024-12-31,Liabilities,Car Loan,14100.00,TRUE
2024-12-31,Liabilities,Student Loan,21800.00,TRUE
2025-01-31,Liquid Assets,Checking Account,7200.00,FALSE
2025-01-31,Liquid Assets,Savings Account,26500.00,FALSE
2025-01-31,Investments,401(k),68200.00,FALSE
2025-01-31,Investments,Roth IRA,11500.00,FALSE
2025-01-31,Investments,Brokerage Account,24800.00,FALSE
2025-01-31,Investments,Crypto Wallet,7200.00,FALSE
2025-01-31,Real Estate,Home Equity Estimator,92000.00,FALSE
2025-01-31,Liabilities,Car Loan,13700.00,TRUE
2025-01-31,Liabilities,Student Loan,21600.00,TRUE
2025-02-28,Liquid Assets,Checking Account,7400.00,FALSE
2025-02-28,Liquid Assets,Savings Account,28000.00,FALSE
2025-02-28,Investments,401(k),71000.00,FALSE
