Date,Description,Category,Amount,Method
2025-07-02,Office Supplies,Supplies,45.20,Chase Business
2025-07-05,Adobe Creative Cloud,Office expense,54.99,Chase Business
2025-07-10,Client Lunch,Travel and meals: Deductible meals,85.50,Amex Business
2025-07-15,Upwork Freelancer,Contract labor,250.00,Transfer
2025-07-28,Software Subscription,Office expense,29.99,Chase Business
2025-08-01,WeWork Day Pass,Rent or lease: Other business property,40.00,Chase Business
2025-08-05,Printer Ink,Supplies,60.00,Chase Business
2025-08-12,Business Dinner,Travel and meals: Deductible meals,140.00,Amex Business
2025-08-15,Legal Consultation,Legal and professional services,300.00,Check
2025-08-18,Google Workspace,Office expense,12.00,Chase Business
2025-08-20,Web Hosting,Advertising,50.00,Chase Business
2025-09-01,Accounting Software,Office expense,30.00,Chase Business
2025-09-03,Client Gift,Business,75.00,Amex Business
2025-09-08,Uber to Client,Travel and meals: Travel,25.00,Chase Business
2025-09-12,Flight for Conference,Travel and meals: Travel,350.00,Amex Business
2025-09-14,Conference Hotel,Travel and meals: Travel,600.00,Amex Business
2025-09-15,Conference Ticket,Advertising,499.00,Amex Business
2025-09-20,Team Lunch,Travel and meals: Deductible meals,180.00,Amex Business
2025-10-01,Zoom Subscription,Office expense,15.99,Chase Business
2025-10-05,Facebook Ads,Advertising,200.00,Chase Business
2025-10-10,Stationery,Supplies,35.00,Chase Business
2025-10-18,New Monitor,Office expense,350.00,Chase Business
2025-10-25,Postage / Shipping,Supplies,18.50,Chase Business
2025-11-02,Telephone Bill,Office expense,45.00,Chase Business
2025-11-05,LinkedIn Premium,Advertising,60.00,Amex Business
2025-11-12,Client Coffee,Travel and meals: Deductible meals,14.50,Chase Business
2025-11-15,Web Designer Invoice,Contract labor,850.00,Transfer
2025-11-20,Contractor Payment,Contract labor,1200.00,Transfer
2025-12-01,Annual LLC Fee,Taxes and licenses,150.00,Check
2025-12-05,Holiday Cards for Clients,Supplies,120.00,Chase Business
2025-12-10,Client Gift Baskets,Business,300.00,Amex Business
2025-12-15,End of Year Bonus,Wages,2000.00,Transfer
2025-12-20,Hard Drive Backup,Office expense,110.00,Chase Business
2026-01-02,Monthly Cloud Storage,Office expense,10.00,Chase Business
