Date,Stream Name,Gross Amount,Net Amount,Is Business
2024-01-31,W-2 (Main Job),8000.00,5800.00,FALSE
2024-01-31,LLC Income,1000.00,1000.00,TRUE
2024-02-29,W-2 (Main Job),8000.00,5800.00,FALSE
2024-02-29,LLC Income,800.00,800.00,TRUE
2024-03-31,W-2 (Main Job),8000.00,5800.00,FALSE
2024-03-31,LLC Income,1200.00,1200.00,TRUE
2024-03-31,Investment Dividends,350.00,350.00,FALSE
2024-04-30,W-2 (Main Job),8000.00,5800.00,FALSE
2024-04-30,LLC Income,1500.00,1500.00,TRUE
2024-05-31,W-2 (Main Job),8000.00,5800.00,FALSE
2024-05-31,LLC Income,900.00,900.00,TRUE
2024-06-30,W-2 (Main Job),8000.00,5800.00,FALSE
2024-06-30,LLC Income,2000.00,2000.00,TRUE
2024-06-30,Investment Dividends,360.00,360.00,FALSE
2024-07-31,W-2 (Main Job),8200.00,6000.00,FALSE
2024-07-31,LLC Income,1100.00,1100.00,TRUE
2024-08-31,W-2 (Main Job),8200.00,6000.00,FALSE
2024-08-31,LLC Income,1300.00,1300.00,TRUE
2024-09-30,W-2 (Main Job),8200.00,6000.00,FALSE
2024-09-30,LLC Income,1400.00,1400.00,TRUE
2024-09-30,Investment Dividends,400.00,400.00,FALSE
2024-10-31,W-2 (Main Job),8200.00,6000.00,FALSE
2024-10-31,LLC Income,1800.00,1800.00,TRUE
2024-11-30,W-2 (Main Job),8200.00,6000.00,FALSE
2024-11-30,LLC Income,900.00,900.00,TRUE
2024-12-31,W-2 (Main Job),8200.00,6000.00,FALSE
2024-12-31,LLC Income,2500.00,2500.00,TRUE
2024-12-31,Annual Bonus,4500.00,3200.00,FALSE
2025-01-31,W-2 (Main Job),8500.00,6200.00,FALSE
2025-01-31,LLC Income,1200.00,1200.00,TRUE
2025-02-28,W-2 (Main Job),8500.00,6200.00,FALSE
2025-02-28,LLC Income,1400.00,1400.00,TRUE
2025-03-31,W-2 (Main Job),8500.00,6200.00,FALSE
2025-03-31,LLC Income,1800.00,1800.00,TRUE
2025-03-31,Investment Dividends,420.00,420.00,FALSE
2025-04-30,W-2 (Main Job),8500.00,6200.00,FALSE
2025-04-30,LLC Income,1600.00,1600.00,TRUE
2025-05-31,W-2 (Main Job),8500.00,6200.00,FALSE
2025-05-31,LLC Income,1100.00,1100.00,TRUE
2025-06-30,W-2 (Main Job),8500.00,6200.00,FALSE
2025-06-30,LLC Income,2200.00,2200.00,TRUE
2025-06-30,Investment Dividends,430.00,430.00,FALSE
2025-07-31,W-2 (Main Job),8500.00,6200.00,FALSE
2025-07-31,LLC Income,1500.00,1500.00,TRUE
2025-08-31,W-2 (Main Job),8500.00,6200.00,FALSE
2025-08-31,LLC Income,2000.00,2000.00,TRUE
2025-09-30,W-2 (Main Job),8500.00,6200.00,FALSE
2025-09-30,LLC Income,1200.00,1200.00,TRUE
2025-09-30,Investment Dividends,450.00,450.00,FALSE
2025-10-31,W-2 (Main Job),8500.00,6200.00,FALSE
2025-10-31,LLC Income,2500.00,2500.00,TRUE
2025-11-30,W-2 (Main Job),8500.00,6200.00,FALSE
2025-11-30,LLC Income,1800.00,1800.00,TRUE
2025-12-31,W-2 (Main Job),8500.00,6200.00,FALSE
2025-12-31,LLC Income,3000.00,3000.00,TRUE
2025-12-31,Annual Bonus,5000.00,3500.00,FALSE
2026-01-02,W-2 (Main Job),8500.00,6200.00,FALSE
2026-01-02,LLC Income,800.00,800.00,TRUE
