Date,Description,Amount,Category,Method
2025-07-01,Monthly Rent,1500.00,Housing,Bank Transfer
2025-07-05,Whole Foods,125.40,Food,Credit Card
2025-07-12,Shell Gas Station,55.00,Transportation,Debit Card
2025-07-20,Netflix Subscription,15.99,Entertainment,Credit Card
2025-07-25,Dining Out - Sushi,85.00,Food,Credit Card
2025-08-01,Monthly Rent,1500.00,Housing,Bank Transfer
2025-08-03,Utility Bill,120.00,Utilities,Bank Transfer
2025-08-10,Grocery Outlet,95.00,Food,Debit Card
2025-08-15,Amazon - Household Items,45.20,Miscellaneous,Credit Card
2025-08-22,Gym Membership,50.00,Health,Credit Card
2025-09-01,Monthly Rent,1500.00,Housing,Bank Transfer
2025-09-05,Trader Joes,110.00,Food,Debit Card
2025-09-15,Internet Service,80.00,Utilities,Credit Card
2025-09-20,AMC Theater,35.00,Entertainment,Credit Card
2025-09-28,New Shoes,120.00,Apparel,Credit Card
2025-10-01,Monthly Rent,1500.00,Housing,Bank Transfer
2025-10-08,Farmers Market,65.00,Food,Cash
2025-10-15,Car Insurance,110.00,Insurance,Credit Card
2025-10-22,Pharmacy,30.00,Health,Debit Card
2025-10-29,Coffee Shop,12.50,Food,Credit Card
2025-11-01,Monthly Rent,1500.00,Housing,Bank Transfer
2025-11-05,Grocery Store,140.00,Food,Credit Card
2025-11-12,Phone Bill,90.00,Utilities,Credit Card
2025-11-20,Concert Tickets,200.00,Entertainment,Credit Card
2025-11-25,Holiday Gifts,350.00,Miscellaneous,Credit Card
2025-12-01,Monthly Rent,1500.00,Housing,Bank Transfer
2025-12-10,Holiday Party Catering,400.00,Food,Credit Card
2025-12-15,Winter Tires,600.00,Transportation,Credit Card
2025-12-22,Charity Donation,100.00,Giving,Bank Transfer
2025-12-28,New Years Eve Prep,150.00,Entertainment,Credit Card
