Date,Miles,Destination,Purpose
2024-01-03,24.5,Downtown Law Office,Client Meeting
2024-01-12,15.2,Office Depot,Supplies
2024-01-25,42.0,Tech Conference Center,Networking
2024-02-05,18.0,Starbucks Main St,New Client Advertising
2024-02-18,35.5,Clinical Site A,Clinical Day
2024-03-08,12.4,Post Office,Supplies
2024-03-22,55.0,State Capital,Licensing
2024-04-10,22.8,Lawyer's Square,Client Meeting
2024-04-28,30.0,Marriott Convention,Networking
2024-05-15,14.5,Apple Store,Supplies
2024-05-30,48.2,Clinical Site B,Clinical Day
2024-06-12,20.0,Local Library,New Client Advertising
2024-07-05,33.0,Airport,Travel and meals
2024-07-20,15.0,FedEx Kinkos,Supplies
2024-08-12,25.4,Business Park,Client Meeting
2024-09-15,60.0,University Research,Clinical Day
2024-10-22,12.0,Staples,Supplies
2024-11-05,45.0,City Hall,Licensing
2024-12-10,22.0,Holiday Dinner Venue,Networking
2025-01-05,28.5,Downtown Law Office,Client Meeting
2025-01-15,14.0,Office Depot,Supplies
2025-01-30,38.0,Tech Conference Center,Networking
2025-02-10,20.0,Starbucks Main St,New Client Advertising
2025-02-22,40.5,Clinical Site A,Clinical Day
2025-03-12,10.4,Post Office,Supplies
2025-03-25,50.0,State Capital,Licensing
2025-04-15,25.8,Lawyer's Square,Client Meeting
2025-04-28,35.0,Marriott Convention,Networking
2025-05-12,16.5,Apple Store,Supplies
2025-05-25,42.2,Clinical Site B,Clinical Day
2025-06-18,22.0,Local Library,New Client Advertising
2025-07-10,30.0,Airport,Travel and meals
2025-07-25,18.0,FedEx Kinkos,Supplies
2025-08-15,28.4,Business Park,Client Meeting
2025-09-20,65.0,University Research,Clinical Day
2025-10-18,15.0,Staples,Supplies
2025-11-12,48.0,City Hall,Licensing
2025-12-15,25.0,Holiday Dinner Venue,Networking
